"","Address","Date","Rent","Aprt_Type","Building_Type"
"240","600 N High Ave, Oklahoma City, OK 73117","2026/01/01",940,"Studio","Apartment"
"241","600 N High Ave, Oklahoma City, OK 73117","2026/01/01",1007,"1 Bed","Apartment"
"242","600 N High Ave, Oklahoma City, OK 73117","2026/01/01",1209,"2 Beds","Apartment"
"243","1540 Northwest 30th Street, Oklahoma City, OK 73118","2026/01/01",1150,"1 Bed","Apartment"
"244","1540 Northwest 30th Street, Oklahoma City, OK 73118","2026/01/01",1550,"2 Beds","Apartment"
"245","123 NE 2nd St, Oklahoma City, OK 73104","2026/01/01",1150,"1 Bed","Apartment"
"246","123 NE 2nd St, Oklahoma City, OK 73104","2026/01/01",1550,"2 Beds","Apartment"
"247","630 N Kelley Ave, Oklahoma City, OK 73117","2026/01/01",1134,"1 Bed","Apartment"
"248","630 N Kelley Ave, Oklahoma City, OK 73117","2026/01/01",1080,"2 Beds","Apartment"
"249","333 NW 5th St, Oklahoma City, OK 73102","2026/01/01",855,"Studio","Apartment"
"250","333 NW 5th St, Oklahoma City, OK 73102","2026/01/01",995,"1 Bed","Apartment"
"251","333 NW 5th St, Oklahoma City, OK 73102","2026/01/01",1530,"2 Beds","Apartment"
"252","1126 N Shartel Ave, Oklahoma City, OK 73103","2026/01/01",950,"Studio","Apartment"
"253","1126 N Shartel Ave, Oklahoma City, OK 73103","2026/01/01",995,"1 Bed","Apartment"
"254","3959 NW 122nd St, Oklahoma City, OK 73120","2026/01/01",878,"1 Bed","Apartment"
"255","3959 NW 122nd St, Oklahoma City, OK 73120","2026/01/01",1055,"2 Beds","Apartment"
"256","12601-12701 N Pennsylvania Ave, Oklahoma City, OK 73120","2026/01/01",955,"Studio","Apartment"
"257","12601-12701 N Pennsylvania Ave, Oklahoma City, OK 73120","2026/01/01",905,"1 Bed","Apartment"
"258","12601-12701 N Pennsylvania Ave, Oklahoma City, OK 73120","2026/01/01",995,"2 Beds+","Apartment"
"259","5300 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1075,"1 Bed","Apartment"
"260","5300 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1140,"2 Beds","Apartment"
"NA",NA,NA,NA,NA,NA
"262","2100-2408 S Santa Fe Ave, Oklahoma City, OK 73160","2026/01/01",900,"1 Bed","Apartment"
"263","2100-2408 S Santa Fe Ave, Oklahoma City, OK 73160","2026/01/01",1025,"2 Beds","Apartment"
"264","3016 SW 89th St, Oklahoma City, OK 73159","2026/01/01",850,"1 Bed","Apartment"
"265","3016 SW 89th St, Oklahoma City, OK 73159","2026/01/01",1270,"2 Beds","Apartment"
"266","4201 W Memorial Rd, Oklahoma City, OK 73134","2026/01/01",1070,"1 Bed","Apartment"
"267","4201 W Memorial Rd, Oklahoma City, OK 73134","2026/01/01",1315,"2 Beds","Apartment"
"268","4201 W Memorial Rd, Oklahoma City, OK 73134","2026/01/01",1640,"3 Beds","Apartment"
"269","10700 S May Ave, Oklahoma City, OK 73170","2026/01/01",1229,"2 Beds","Apartment"
"270","10700 S May Ave, Oklahoma City, OK 73170","2026/01/01",1659,"3 Beds","Apartment"
"271","5101 Hales Dr, Oklahoma City, OK 73112","2026/01/01",972,"1 Bed","Apartment"
"272","5101 Hales Dr, Oklahoma City, OK 73112","2026/01/01",1039,"2 Beds","Apartment"
"273","5101 Hales Dr, Oklahoma City, OK 73112","2026/01/01",1299,"3 Beds","Apartment"
